0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:05:03 +0100] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:05:04 +0100] "GET /tomcat.css HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:05:04 +0100] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:05:04 +0100] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:05:04 +0100] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:05:04 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:05:04 +0100] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:05:04 +0100] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:05:41 +0100] "GET /addnumbersagain/addnumbers HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:05:50 +0100] "GET /addnumbersagain/ HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:06:29 +0100] "GET /Webapp HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:06:44 +0100] "GET /WebApp HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:07:11 +0100] "GET /addnumbersagain/addnumbers?wsdl HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:09:16 +0100] "GET /addnumbersagain/addnumbers?wsdl HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:09:16 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:09:18 +0100] "GET /addnumbersagain/addnumbers?wsdl HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:09:18 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:09:18 +0100] "GET /addnumbersagain/addnumbers?wsdl HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:09:18 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:09:18 +0100] "GET /addnumbersagain/addnumbers?wsdl HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:09:18 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:12:53 +0100] "GET /addnumbersagain/addnumbers?wsdl HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:12:53 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:12:54 +0100] "GET /addnumbersagain/addnumbers?wsdl HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:12:54 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:12:54 +0100] "GET /addnumbersagain/addnumbers?wsdl HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:12:54 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:12:54 +0100] "GET /addnumbersagain/addnumbers?wsdl HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:12:54 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [31/Oct/2017:12:13:19 +0100] "GET /addnumbersagain/addnumbers?wsdl HTTP/1.1" 200 2578
